kod,nazwa,aktualizacjaData,kodEPA,kodEVA,kodPOS,typ,wymianaAglomeracja,kodAglomeracji,biletMiejski
3047,Chabówka,2026-05-25 04:00:02.625,5100154,5100091,78709,0,0,0,False
6653,Chabówka Stadion,2026-05-25 04:00:02.676,5101191,5100093,265251,0,0,0,False
278,Chałupki,2026-05-25 04:00:02.676,5100200,5100708,67900,0,0,0,False
5084,Chałupy,2026-05-25 04:00:02.663,5100325,5100686,6734,0,0,0,False
16,Chełm,2026-05-25 04:00:02.663,5100013,5100303,50906,0,0,3,False
2045,Chełm Miasto,2026-05-25 04:00:02.663,5100717,5100768,50948,0,0,3,False
5089,Chełmża,2026-05-25 04:00:02.638,5101207,5100761,20164,0,0,0,False
8063,Chociwel,2026-05-25 04:00:02.625,5100820,5100796,3517,0,0,0,False
17,Chodzież,2026-05-25 04:00:02.638,5100320,5100092,16188,0,0,0,False
8064,Chojna,2026-05-25 04:00:02.625,5100321,5100720,13334,0,0,0,False
18,Chojnice,2026-05-25 04:00:02.638,5100155,5100304,15602,0,0,0,False
902,Chojnów,2026-05-25 04:00:02.625,5100845,5100793,54007,0,0,0,False
1074,Chorzele,2026-05-25 04:00:02.625,5101226,5100798,23416,0,0,0,False
4061,Chorzów Batory,2026-05-25 04:00:02.651,5100362,5100786,73106,0,0,0,False
4062,Chorzów Miasto,2026-05-25 04:00:02.638,5100156,5100073,72272,0,0,0,False
19,Choszczno,2026-05-25 04:00:02.638,5100220,5100094,29405,0,0,0,False
1076,Chotyłów,2026-05-25 04:00:02.651,5100621,5100828,40949,0,0,0,False
3054,Chrzanów Śródm.,2026-05-25 04:00:02.663,5100593,5100819,77834,0,0,0,False
20,Ciechanów,2026-05-25 04:00:02.625,5100221,5100095,36939,0,0,0,False
1091,Czarna Białost.,2026-05-25 04:00:02.676,5100788,5100853,24232,0,0,0,False
5098,Czarna Woda,2026-05-25 04:00:02.651,5100594,5100864,8961,0,0,0,False
23,Czechowice-Dzied.,2026-05-25 04:00:02.638,5100021,5100251,76000,0,0,0,False
424,Czeremcha,2026-05-25 04:00:02.625,5101102,5100863,25205,0,0,0,False
5104,Czersk,2026-05-25 04:00:02.651,5100691,5100803,8904,0,0,0,False
26,Częstochowa,2026-04-10 00:00:20.336,5100014,5100007,62653,2,1,4,False
0,Częstochowa (dowolna stacja),2026-05-25 04:01:11.726,0,5196005,0,1,1,4,False
4085,Częstochowa Str.,2026-04-10 00:00:20.356,5100222,5100235,62802,2,1,4,False
28,Czyżew,2026-05-25 04:00:02.638,5100789,5100097,24737,0,0,0,False
1102,Dąbrowa Białost.,2026-05-25 04:00:02.638,5100790,5100900,24893,0,0,0,False
30,Dąbrowa Górnicza,2025-10-06 23:45:47.737,5100340,5100250,74583,2,1,32,False
0,Dąbrowa Górnicza (dowolna stacja),2025-10-06 23:45:47.694,0,5196250,0,1,1,32,False
4095,Dąbrowa G.Ząbk.,2025-10-06 23:45:47.717,5100189,5100098,74500,2,1,32,False
31,Dębica,2026-05-25 04:00:02.625,5100016,5100228,81208,0,0,0,False
32,Dęblin,2026-05-25 04:00:02.651,5100015,5100099,49809,0,0,0,False
8094,Dobiegniew,2026-05-25 04:00:02.651,5100266,5100966,29181,0,0,0,False
706,Dorohusk,2026-05-25 04:00:02.625,5100223,5100974,51102,0,0,0,False
34,Drzewica,2026-05-25 04:00:02.676,5100343,5100986,48827,0,0,0,False
35,Duszniki-Zdrój,2026-05-25 04:00:02.676,5100017,5100008,57521,0,0,0,False
402,Działdowo,2026-05-25 04:00:02.625,5100224,5100100,22442,0,0,0,False
